Alignment ID,Average Mz
3151,290.1426
25989,1562.0259
25310,1291.5955
15371,535.3986
4587,317.1468
26048,1584.0071
26031,1579.0466
25962,1551.0181
25702,1385.9547
25312,1291.5994
21687,765.5023
19180,653.3905
16670,571.4193
16096,555.3326
16044,553.4111
11569,448.1769
11469,445.39
7623,373.3492
7488,371.162
2941,285.2432
2431,275.1586
1100,240.0868
26103,1605.984
26047,1583.995
26032,1579.0573
26028,1577.9618
25977,1555.9679
25910,1533.9949
25909,1533.984
25887,1522.9872
25866,1518.9919
25831,1501.9674
25812,1490.9607
25642,1357.9194
25509,1325.8932
25211,1277.6187
24813,1209.885
24722,1181.8513
24312,1033.8147
24204,1005.7847
23568,910.6123
23487,901.5531
23450,896.5965
23297,879.5702
22178,786.4722
21202,737.4697
19718,669.3874
19714,669.3872
18575,636.3209
18546,635.381
17620,603.3911
17238,589.4335
16674,571.4222
16598,569.3494
16340,561.4013
15707,544.8588
15706,544.8579
15666,543.3909
14985,525.3807
11466,445.3897
10518,427.3792
9491,409.3687
9492,409.3687
7963,381.0613
7906,379.2261
7622,373.3474
6306,349.1803
5035,325.2745
3848,303.254
1322,247.1084
1140,241.155
1099,240.0846
1078,239.1376
404,218.1014
384,217.1594
226,211.0718
4,200.0923
25966,1551.9772
25945,1547.0175
25899,1530.0018
25625,1353.9282
25455,1314.6747
25454,1314.6742
25332,1293.6272
25330,1293.6143
25316,1291.6487
25313,1291.635
25267,1286.6447
24630,1149.8265
23868,941.5697
23590,913.537
22455,805.4948
22386,800.4874
22152,784.5819
22127,783.5148
22114,782.5736
21042,730.5251
20495,703.3884
20319,693.384
20318,693.3737
20023,679.368
19785,671.4011
19779,671.3029
19713,669.3863
19388,659.3662
19204,654.2863
19203,654.2845
18771,642.3204
18769,642.3196
18666,639.3125
18609,637.3103
18541,635.3348
18113,621.3652
18112,621.3649
18111,621.3645
18005,617.3696
17785,609.3641
17558,601.3766
17486,599.3597
17165,587.36
17033,583.3654
16814,575.3604
16530,567.3347
15969,551.3763
15965,551.3388
15520,539.4553
15322,533.8549
14103,501.3442
13107,478.3508
13104,478.3401
10011,419.2187
8396,389.2657
7808,377.2906
7327,368.1824
5370,331.1695
5279,329.2691
2675,280.2302
1881,262.2025
1880,262.2021
1283,246.0766
403,218.1
130,205.1957
26465,1985.2024
25890,1523.9446
25818,1495.9146
25691,1379.9045
25643,1357.9208
25607,1349.5608
25431,1309.5886
25392,1305.6184
25347,1297.8627
25245,1283.636
25244,1283.6327
25223,1279.5959
24920,1229.6216
24708,1177.8545
24545,1121.7966
24260,1022.6653
24203,1005.784
23975,956.4522
23620,917.5275
22876,838.5524
22113,782.5721
22109,782.5719
22110,782.5719
22106,782.5718
22107,782.5718
22108,782.5718
21523,755.3546
21519,754.6599
21277,741.3395
21044,730.5343
20618,709.3813
20614,709.3795
20606,708.5967
20575,707.3994
20326,693.3866
20320,693.3842
20198,687.3983
20194,687.3967
19973,677.3889
19972,677.3887
19719,669.3875
19664,667.4083
19663,667.4073
19589,665.3518
19517,663.373
19514,663.3712
19451,661.3951
19323,657.3868
19313,657.2947
19181,653.3916
19176,653.3895
19167,653.3246
19129,652.3179
19104,651.3765
19103,651.3762
19034,649.3961
19031,649.3586
19028,649.3561
18978,647.797
18908,646.3032
18907,646.303
18831,644.2749
18828,643.8259
18675,639.376
18674,639.3759
18671,639.374
18618,637.3969
18616,637.3965
18547,635.3812
18492,633.4014
18486,633.3662
18418,631.3461
18360,629.3307
18359,629.3126
18358,629.3125
18242,625.3597
18181,623.3807
18180,623.3806
18100,621.3139
18060,619.3884
18057,619.3865
18058,619.3865
18007,617.3701
18004,617.3694
17963,616.3
17932,615.3141
17888,614.3224
17788,609.3673
17787,609.3667
17728,607.3503
17725,607.349
17684,605.3701
17680,605.3691
17617,603.3552
17557,601.3765
17556,601.3763
17492,599.3619
17491,599.3604
17291,591.3555
17286,591.3547
17287,591.3547
17227,589.3386
17106,585.3795
17101,585.3441
17031,583.3646
16983,581.3483
16868,577.2999
16740,573.345
16659,571.3287
16456,565.354
16399,563.3377
16029,553.3228
14993,525.4385
14992,525.4383
13266,482.1494
12971,475.2545
11774,452.148
11422,445.165
11329,443.2172
11128,439.3319
9144,403.2335
9138,403.2135
8739,395.3058
8738,395.3019
8310,387.2065
8201,385.2028
8099,383.2478
7812,377.2944
7809,377.2906
7697,375.2856
7616,373.3037
7594,373.202
7044,363.104
6964,361.2236
6836,358.2968
6785,357.276
6685,355.2584
6307,349.1812
6130,345.3155
6120,345.2079
6102,345.1434
6054,344.2025
6000,343.2112
5900,341.2824
5437,333.0284
5271,329.231
5221,329.1032
4637,318.1134
4538,316.1718
4032,307.2483
3631,299.1844
3280,293.1476
3021,287.1974
2718,281.1479
2491,277.1125
2177,269.1757
1330,247.1341
1065,239.1005
586,223.1699
401,218.0824
395,217.1599
342,215.1447
201,209.154
0,200.0921
25619,1353.5707
25516,1327.6195
25482,1321.6326
25391,1305.616
25382,1303.6284
25381,1303.6241
25363,1300.6617
25311,1291.5958
25295,1289.6421
25293,1289.6394
25288,1289.0928
25277,1287.6223
25233,1282.1001
25230,1281.5967
25212,1277.6248
25209,1277.5818
25183,1271.635
25165,1269.6163
25126,1263.6069
25084,1255.6388
25082,1255.6047
25013,1241.6226
25011,1241.6199
24921,1229.6218
24235,1015.8021
24234,1015.6731
24008,959.6192
23834,939.5989
23453,897.5297
23087,859.5028
22895,840.2518
22666,820.5259
22667,820.5259
22632,818.3522
22584,813.5212
22531,810.2924
22475,806.5859
22442,804.5562
22437,804.5537
22433,804.5463
22290,793.4812
22228,790.5545
22111,782.572
21981,772.4565
21951,770.5699
21947,770.4579
21859,768.3578
21640,762.5586
21639,762.5585
21542,756.4442
21524,755.3553
21371,746.5292
21304,742.5399
21251,740.481
21233,739.3629
21230,739.3594
20980,727.3241
20847,720.5121
20805,718.5349
20804,718.5335
20595,708.5427
20526,704.5175
20523,704.5173
20525,704.5173
20476,702.503
20437,699.4581
20323,693.3855
20022,679.3671
19944,676.4863
19943,676.4861
19886,674.5087
19887,674.5087
19712,669.386
19657,667.3213
19652,667.3054
19618,666.3131
19595,665.3552
19581,665.2812
19540,663.773
19518,663.3732
19516,663.3728
19515,663.3722
19513,663.371
19446,661.3564
19443,661.3228
19419,660.4921
19420,660.4921
19384,659.3243
19359,658.4756
19169,653.3306
19165,653.3214
19128,652.3156
19127,652.3146
19125,652.3054
19094,651.3096
19059,650.3046
19036,649.397
19029,649.358
19030,649.358
18967,647.4153
18958,647.3411
18956,647.3408
18911,646.3221
18813,643.3698
18741,641.3558
18667,639.3181
18665,639.3123
18576,636.3213
18550,635.3831
18548,635.3813
18542,635.3411
18540,635.3299
18510,634.3172
18455,632.4615
18454,632.4614
18425,631.386
18417,631.3087
18399,630.4866
18325,628.3043
18178,623.3455
18174,623.3436
18108,621.3155
18107,621.3154
18106,621.3151
18103,621.3145
18101,621.3141
18056,619.386
17971,616.4672
17972,616.4672
17970,616.4649
17934,615.3146
17873,613.3761
17729,607.3505
17682,605.3698
17674,605.3334
17673,605.3295
17555,601.3761
17530,601.0616
17194,588.4342
17193,588.434
17162,587.3591
17161,587.359
17121,586.4554
16978,581.2971
16877,577.3392
16741,573.3453
16694,572.4402
16695,572.4402
16595,569.3482
16406,563.416
16396,563.3327
16386,563.2699
16366,562.377
16343,561.4359
16258,559.3286
16217,558.4236
16206,558.3153
16098,555.3339
16092,555.3283
15963,551.3387
15832,547.4214
15831,547.4213
15708,544.8592
15697,544.4072
15696,544.4064
15686,544.318
15685,544.3179
15616,542.4297
15614,542.4277
15610,542.3501
15584,541.4332
15307,533.3515
15108,528.4128
15110,528.4128
15070,527.3812
15054,527.2899
15053,527.2897
14585,514.3977
14398,509.3708
14285,506.3413
14256,505.3377
14051,500.3806
13962,498.4013
13960,498.4012
13705,491.3158
13395,484.3859
13358,483.3576
13265,482.1489
12867,473.2655
12810,472.257
12763,471.2505
12606,468.3097
12474,465.3443
12473,465.3442
12335,463.1031
12275,461.3103
12173,459.2988
12013,456.354
11829,453.165
11536,447.2231
11508,447.0723
11505,447.0681
11407,445.0929
11402,445.0558
11185,440.3608
11089,439.1847
10835,434.2939
10825,434.222
10824,434.2199
10787,433.2342
10694,431.2474
10458,427.0815
10157,422.1982
10116,421.2237
10091,421.0922
9994,419.1137
9928,417.2833
9929,417.2833
9630,412.3293
9629,412.3287
9625,412.2809
9533,411.0355
9531,411.0354
9134,403.2078
9112,403.0829
9050,401.2249
8847,397.2683
8803,396.3344
8734,395.2881
8379,389.1968
8324,387.2841
8165,385.0789
8042,382.2816
7988,381.2058
7946,380.2911
7699,375.286
7611,373.2628
7610,373.2569
7506,371.1879
7439,370.1112
7339,368.3021
7340,368.3021
6771,357.2074
6487,352.2495
6238,348.098
6125,345.2756
6001,343.2114
5390,331.2596
4979,325.0719
4862,322.1664
4034,307.2491
4002,307.1285
3901,305.1209
3738,301.1693
3685,300.1968
3684,300.1924
3444,296.1976
2945,285.2436
2760,282.0801
2698,281.1135
2596,279.1346
2330,273.0397
2318,272.2591
2022,265.2541
1864,261.207
1832,261.1136
1828,261.1135
1635,255.1708
1626,255.1322
1625,255.1321
1623,255.132
1624,255.132
1363,247.2431
1066,239.1005
979,236.1284
866,233.15
867,233.15
865,233.1499
852,233.0539
841,232.1545
797,231.0791
585,223.1696
405,218.1406
334,215.1396
128,205.1955
26083,1597.9883
25661,1363.7761
25660,1363.7756
25622,1353.6581
25511,1326.6008
25506,1325.6052
25504,1325.6047
25502,1325.5919
25472,1319.7527
25471,1319.6163
25444,1311.6331
25440,1311.6239
25439,1311.6238
25433,1309.6056
25418,1307.7195
25415,1307.6377
25393,1305.6346
25385,1304.6185
25380,1303.6235
25378,1303.6223
25331,1293.6143
25315,1291.6438
25296,1289.6423
25294,1289.6418
25260,1285.6455
25258,1285.6097
25226,1279.5981
25225,1279.5975
25198,1275.1132
25167,1269.6622
25127,1263.6084
25096,1257.6122
25010,1241.619
24341,1043.7122
24183,999.7855
24136,987.7748
24057,968.6019
23971,955.5749
23835,939.6001
23682,923.5435
23681,923.5403
23634,919.5133
23574,911.4216
23533,907.3965
23489,901.56
23090,859.5673
23071,857.5559
22981,849.363
22554,811.3682
21962,771.3516
21926,769.3708
21574,758.5704
21509,754.4626
21382,747.1956
21241,739.557
21215,738.4625
20957,726.4293
20936,725.3445
20933,725.3424
20903,723.3644
20764,716.5277
20763,716.5272
20650,711.3298
20574,707.3994
20532,705.3379
20443,700.2491
20412,698.398
20278,691.4058
20277,691.4056
20250,690.3765
20249,690.3675
20210,687.7943
20069,681.3474
20020,679.3657
19810,672.2958
19805,671.7797
19774,671.2883
19773,671.2877
19728,669.8265
19727,669.8259
19697,668.8206
19654,667.3088
19488,662.8192
19487,662.8166
19475,662.3434
19461,661.8315
19460,661.8137
19459,661.8134
19441,661.3156
19402,659.8161
19316,657.3231
19315,657.3154
19311,657.2919
19282,656.389
19239,655.3063
19178,653.3897
19166,653.322
19164,653.3214
19145,652.8112
19100,651.3744
19027,649.3214
19025,649.3213
19026,649.3213
18980,647.8175
18961,647.3781
18960,647.3763
18957,647.3408
18951,647.3054
18899,645.8287
18898,645.826
18815,643.3708
18799,643.3002
18712,640.8287
18711,640.8274
18606,637.3064
18577,636.3235
18574,636.3204
18537,635.3104
18509,634.309
18481,633.327
18480,633.3257
18479,633.3256
18447,632.306
18444,632.2879
18426,631.3878
18357,629.3121
18320,628.2844
18245,625.361
18183,623.3856
18147,622.819
18104,621.3148
18102,621.3144
18051,619.3103
18041,619.2693
18025,618.3144
18013,617.4066
18008,617.3701
17962,616.2991
17886,614.3061
17826,611.3453
17687,605.4072
17616,603.3547
17615,603.3538
17573,602.321
17399,595.3475
17349,593.3695
17292,591.3599
17289,591.3553
17232,589.3758
17226,589.3386
17164,587.3599
17159,587.3588
17100,585.3427
17099,585.3424
17040,583.3896
16981,581.3467
16876,577.3391
16778,574.877
16742,573.3455
16597,569.3492
16594,569.3481
16593,569.3478
16535,567.3691
16459,565.3607
16412,563.8857
16094,555.3324
16031,553.3383
15808,547.3026
15807,547.3023
15755,546.2816
15432,537.3226
15361,535.3054
15267,532.8601
15207,531.1755
15171,530.2313
15136,529.2614
14861,522.2569
14572,514.2565
14435,510.491
14385,509.2572
14142,503.118
14138,502.8312
14057,500.4487
14039,500.3094
14027,500.201
13614,489.239
12808,472.2347
12743,471.1369
12493,466.1938
12448,465.1859
12355,463.2237
12072,457.2606
12045,457.1755
11999,456.261
11940,455.163
11936,455.1493
11935,455.1492
11737,451.2123
11539,447.2501
11432,445.2341
11217,441.1702
11083,439.1751
10984,437.196
10977,437.1875
10585,429.2289
10573,429.1901
10486,427.2862
10203,423.1591
10112,421.201
9804,415.2128
9327,407.1842
9203,405.1112
9141,403.2267
8492,391.213
8494,391.213
8387,389.2016
8195,385.1883
7878,379.0602
7684,375.2014
7503,371.1877
7504,371.1877
7470,371.0712
6901,360.1401
6404,351.0885
5730,338.2151
4641,318.1242
3863,304.1191
3589,299.1052
2697,281.1135
2463,276.1424
2041,266.1764
1887,263.0198
1351,247.1703
1082,239.1597
337,215.144
25773,1440.6652
25758,1426.696
25753,1423.6432
25731,1405.2646
25566,1341.5996
25565,1341.599
25538,1331.7844
25518,1327.6292
25491,1322.6781
25479,1321.5939
25304,1290.6412
25204,1275.7227
24460,1083.7015
24394,1061.5112
23941,951.3176
23694,925.3989
23671,923.2825
23421,893.3821
23400,891.2955
23396,890.798
23207,871.3467
23042,855.3596
23040,855.3586
22932,844.5647
22722,823.3696
22676,820.7284
22484,807.3552
22323,796.527
22244,791.3813
22061,779.3423
22010,775.3906
21588,759.4242
21511,754.4642
21347,745.3177
21078,731.7993
21067,731.3452
21063,731.2979
21036,730.3372
21035,730.3368
20977,727.3173
20915,724.3129
20901,723.3513
20900,723.3491
20899,723.3442
20894,723.3174
20846,720.5059
20775,716.8303
20746,716.3248
20596,708.5428
20592,708.4887
20560,706.57
20373,696.3718
20345,694.4716
20344,694.4715
20051,680.4537
19919,675.5435
19536,663.572
19476,662.4073
19445,661.3456
19414,660.4858
19237,655.3055
18963,647.3874
18668,639.3314
18572,636.3184
18528,635.2476
18421,631.3649
18216,624.5026
18071,620.2919
17999,617.3495
17891,614.3248
17887,614.3193
17429,597.295
17272,591.2765
17067,584.3625
16808,575.3016
16700,572.4914
16554,568.2643
16501,566.4437
16028,553.3204
15805,547.2691
15547,540.5355
15288,533.2551
15214,531.2374
14964,525.2868
14834,521.2738
14454,511.2716
14411,510.2291
14148,503.1249
13875,496.213
13873,496.2127
13601,489.1318
13599,489.1313
13593,489.1113
13591,489.1112
13592,489.1112
13590,489.1111
13517,487.1523
13516,487.152
13515,487.132
13513,487.1318
13512,487.1317
13475,486.2433
13409,485.1721
13407,485.1597
13270,482.196
13269,482.1959
13268,482.1736
13152,479.2896
13017,476.2655
12956,475.1513
12847,473.1367
12845,473.1366
12846,473.1366
12844,473.1365
12839,473.1146
12841,473.1146
12750,471.1575
12749,471.1563
12747,471.1562
12748,471.1562
12742,471.1368
12647,469.1646
12588,468.1808
12587,468.1807
12585,468.1806
12302,462.2514
12255,461.21
12205,460.2711
12038,457.1406
12037,457.1405
12036,457.1217
12035,457.1195
11939,455.1629
11938,455.1615
11839,453.1825
11572,448.2365
11523,447.1614
11486,446.2562
11429,445.2231
11211,441.1458
11212,441.1458
11209,441.1368
11160,440.2662
11105,439.2342
11079,439.1476
10921,436.1919
10774,433.179
10766,433.1428
10734,432.2401
10733,432.24
10689,431.2136
10638,430.261
10419,426.2513
10421,426.2513
10340,425.1956
10287,424.2347
10204,423.1789
10117,421.2237
10001,419.1649
9957,418.2243
9861,416.2458
9442,409.2239
9388,408.1619
9224,405.2292
9133,403.1985
9088,402.2288
9081,402.1043
9044,401.1978
9007,401.0645
8928,399.182
8875,398.0685
8659,394.1523
8490,391.2129
8101,383.2513
7279,367.1915
5538,335.0696
5254,329.2036
4583,317.1378
4360,313.2282
4221,311.1368
3392,295.2069
3382,295.1553
3256,293.0565
3004,287.1262
2551,278.0983
2400,274.2387
2301,272.069
1951,264.1014
1835,261.1137
1827,261.1135
1819,261.0803
1801,260.0931
1246,245.11
808,231.1322
25797,1474.8851
22934,844.6474
22933,844.6472
19947,676.5196
17797,610.1837
17525,600.5587
17196,588.5013
17077,584.5641
16829,575.6034
15457,537.5383
15456,537.5382
12021,456.4209
12022,456.4209
11396,444.3848
11395,444.3845
10912,435.4456
10911,435.4455
8970,399.3997
6754,357.148
6753,357.1479
5106,326.3799
4435,314.3067